編號,拾獲日期,拾獲地點,外觀描述,物品分類,存放地點
2026060520265,2026/06/05,總圖1F其他區域,短袖黑色無帽外套(亦可當襯衫),衣物,總圖一樓服務台
2026060520266,2026/06/05,總圖3F其他區域,黑框眼鏡一副,其他 黑框眼鏡一副,總圖一樓服務台
2026060520268,2026/06/05,總圖2F其他區域,淺卡其色外套及毛衣一條,衣物其他,總圖一樓服務台
2026060420261,2026/06/04,總圖2F其他區域,熊本熊頭小包包吊飾,其他 包包吊飾,總圖一樓服務台
2026060420263,2026/06/04,總圖1F圖書館大門,黃O瑜郵政金融卡,證件-其他其他 郵政金融卡,總圖一樓服務台
2026060420264,2026/06/04,總圖1F公用電腦區,影印儲值卡100元型。,影印卡、悠遊卡,總圖一樓服務台
2026060320253,2026/06/03,總圖1F圖書館大門,史努比吊飾,其他 史努比吊飾,總圖一樓服務台
2026060320254,2026/06/03,總圖4F其他區域,充電線Type-C,其他 充電線Type-C,總圖一樓服務台
2026060320255,2026/06/03,總圖2F其他區域,圖書：民事法規,圖書、期刊,總圖一樓服務台
2026060320260,2026/06/03,總圖1F其他區域,本國身分證—黃〇〇,證件-身分證,總圖一樓服務台
2026060220244,2026/06/02,總圖4F其他區域,自動傘一把,雨傘,總圖一樓服務台
2026060120237,2026/06/01,總圖1F 數位學習席,白色保溫杯,水壺、水杯,總圖一樓服務台
2026060120239,2026/06/01,總圖B1自習室,黃灰色運動外套,衣物,總圖一樓服務台
2026060120240,2026/06/01,總圖1F 數位學習席,藍芽耳機一對 無外殼,其他 耳機,總圖一樓服務台
2026053120236,2026/05/31,總圖1F 多元共享區,現金,現金,總圖一樓服務台
2026053020233,2026/05/30,總圖1F圖書館大門,一卡通(普通)，彩色線條圖案,影印卡、悠遊卡,總圖一樓服務台
2026052920216,2026/05/29,總圖2F盥洗室及茶水間,2025 EARTH SCIENCE FESTIVAL,水壺、水杯,總圖一樓服務台
2026052920217,2026/05/29,總圖2F閱覽席座,Glenfiddich鴨舌帽,衣物,總圖一樓服務台
2026052920218,2026/05/29,總圖2F閱覽席座,K-ON小卡,其他 小卡,總圖一樓服務台
2026052920228,2026/05/29,總圖1F其他區域,外國硬幣1枚,現金,總圖一樓服務台
2026052920230,2026/05/29,總圖B1自習室,白色藍牙耳機充電盒(無耳機),其他 藍牙耳機充電盒,總圖一樓服務台
2026052820208,2026/05/28,總圖1F影印室,100元影印卡,影印卡、悠遊卡,總圖一樓服務台
2026052820209,2026/05/28,總圖1F 數位學習席,白色充電線1條,其他 充電線,總圖一樓服務台
2026052820210,2026/05/28,總圖3F其他區域,白色帽子1頂,衣物,總圖一樓服務台
2026052720204,2026/05/27,總圖1F圖書館大門,藍色杯蓋透明瓶身水壺,水壺、水杯,總圖一樓服務台
2026052720207,2026/05/27,總圖1F圖書館大門,本校學生證–陳〇〇。,證件-本校證件,總圖一樓服務台
2026052920227,2026/05/27,辜振甫圖書館,二件髒衣物、一個內似裝有垃圾包包,衣物,辜振甫圖書館
